leaf_area,perimeter,aspect_ratio,extent,equivalent_diameter,mean_R,mean_G,mean_B,mean_H,mean_S,mean_V,std_G,contrast,energy,homogeneity,correlation,entropy,weight_gram
49936.5,1394.4579310417175,2.6097560975609757,0.4553134260314566,252.15298238503436,95.14155269191241,100.30168392758321,52.10674756897779,32.58012491106016,129.98282472922762,100.99302316388648,21.349531521234077,0.22728792612125737,0.5959108404959172,0.9394701887229306,0.9334467095329372,4.335139869062684,27.0
62639.5,1451.0853481292725,2.707547169811321,0.5147549470777727,282.4094340889451,95.60866338197208,107.83814983260692,45.627850420061904,34.86962289179458,150.76005937717136,108.25895395110858,20.926351070466488,0.23971876628480254,0.5426695708955784,0.9300937928056029,0.9362092001860116,4.398159962001692,37.0
63410.5,1440.8843381404877,2.408888888888889,0.5199712997129972,284.1421407525273,100.50303493688267,108.49835380030271,49.919968168271254,33.33290682977827,143.097804546944,109.06708068719085,20.3847376314378,0.26531282667634243,0.5393042917228427,0.9242669382089148,0.9343267698970762,4.35754364861708,30.0
78067.0,1673.1858540773392,3.1683168316831685,0.603859839108911,315.27447016661523,101.81627865692839,110.86784844796105,50.54408855751674,33.316722458916615,143.94292706431324,111.51989500912964,19.98324602471975,0.3227835816595507,0.489778385384044,0.9059167935626118,0.9212521529232203,4.322478101757909,41.0
78988.5,1631.771639585495,3.1219512195121952,0.602046493902439,317.1297554303497,107.79974926346142,119.54037485112518,54.82715476712844,34.175966902776906,143.3901335172068,120.04736413213816,21.190415919880937,0.3259244616840544,0.5094239259999405,0.9134792983110036,0.9322277922649098,4.401981946603312,43.0
59460.5,1451.227483510971,2.825,0.5261991150442478,275.1498863342036,99.33297308082403,111.76010508288579,52.03614718254826,35.148579219526795,141.23859800808074,112.18416108275277,20.166649692203595,0.2849139240655042,0.5308722247656723,0.9188515020180457,0.9319250378102236,4.401392512194506,37.0
46310.5,1251.4873682260513,2.7344632768361583,0.5405810804501098,242.82578103747088,100.3725933348969,107.61981620860962,54.65582823393957,33.25848062941089,129.92337050382721,108.14159612801433,18.537000584507833,0.30743876413976123,0.5216307532315483,0.9102751272699715,0.9233533898422858,4.219891690642408,34.0
63037.5,1401.369618177414,2.5576923076923075,0.5696708718912666,283.3052025664951,99.1115821204842,111.9550029045578,49.069991992840656,35.020536008666575,149.09512819305104,112.4266088895169,22.71288134547831,0.33395238374314534,0.4996313216152618,0.9090962328201417,0.9216592325856622,4.4789364794665945,37.0
45817.0,1189.7300090789795,1.9767441860465116,0.5014172366621067,241.52849981136998,95.39587286527514,101.97755304467829,48.14600224253925,32.47759617043298,141.08845092289116,102.84218130067276,20.470282503513854,0.24627059883714902,0.5591280614660626,0.9322749428054111,0.9299610282119483,4.3647522597687844,28.0
52626.0,1346.5584366321564,3.0813953488372094,0.57729267222466,258.8542143393317,99.77828886844526,111.0974785498376,53.50888984848769,35.104537859301956,136.41657435743386,111.44529973903084,20.153298811032727,0.3290614346162735,0.5025207137402761,0.910918442532179,0.921176486029517,4.35224840283605,31.0
37220.0,1085.303603053093,1.800995024875622,0.5115307440697067,217.69238814217357,102.98865714361435,106.23947208014205,56.953038454403305,30.59433387220735,126.20806720907429,107.3721410966528,21.57462025164212,0.28299801430170274,0.5377578159797818,0.9234993032926919,0.9323908262449782,4.362658775228316,29.0
50808.5,1372.6000665426254,2.835978835978836,0.5015448550896312,254.3450243442488,98.2627344281411,104.8053639102128,54.3168205227869,32.80740452822855,128.12428335438733,105.51069866873968,18.872996206334335,0.28179963498194716,0.5480696816268668,0.9186979033094773,0.923668114318358,4.265342678975303,31.0
47158.5,1277.9726493358612,3.198757763975155,0.5687571609479588,245.0389092988972,107.32057536483742,113.51862398190993,63.79610979669605,32.44509118318293,118.096271016101,114.30792906346181,20.692848019812086,0.3078893770951967,0.5191072325619385,0.926230317674234,0.9339330898811747,4.3720311332225315,19.0
37265.5,1020.3157957792282,2.0552486187845305,0.5534589793857304,217.82540773364389,107.4714626391097,112.26865394806572,66.5786698463169,31.42151563328034,112.88269740328563,113.51809750927399,24.600782361192067,0.29128143930180567,0.5093330825065081,0.9211905666277392,0.9405605402554297,4.480273533515849,18.0
34742.5,1088.6589411497116,2.3216374269005846,0.5117695582364812,210.3224307651502,101.37949619879723,107.38014864404856,57.238426188585045,32.74344718030183,124.54609667536593,108.11165323953252,20.66918232080437,0.28813262501304004,0.54577146432776,0.9295461065980452,0.9308527577085967,4.3486738328461065,24.0
51669.5,1360.3990557193756,2.527638190954774,0.5161942915372089,256.49103426181097,104.23637371671096,109.97868354139982,62.58108857323111,33.801269428565966,118.98778366184258,110.6958724453706,26.794131143699072,0.226991498645927,0.5417621836897828,0.9377545846342985,0.9508232734388273,4.553346644532239,29.0
45602.0,1269.386863231659,2.4564102564102566,0.4882179754831112,240.96113736246534,103.61309523809524,108.89155844155844,60.039437229437226,32.54077922077922,121.6084632034632,109.66997835497835,23.354351406234596,0.28589701143934243,0.554586368005018,0.9261997873023083,0.9337267808976505,4.500868397770099,25.0
60089.0,1362.8427079916,2.0981308411214954,0.6253668588556085,276.60023681043947,104.35687469125638,114.92766342828915,52.275366375761564,34.08900049398979,141.97722707064054,115.37118392886546,21.38254566474484,0.3025978974975842,0.4989955309644914,0.9153468512273675,0.929232766645346,4.4221563621199325,36.0
70273.0,1684.4995608329773,2.895,0.6068480138169258,299.1226546538628,110.68074119931339,118.5467259476039,63.55338098320061,32.5701663055407,125.06988490868672,119.40681543180347,21.91146430116565,0.3648652017280228,0.49854292294206104,0.9069081851387293,0.9278687560663923,4.362516043899675,33.0
